seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
81,Noah,Jefferson,37,Tebe Park,Jesleugo,RI,60302,$3911.30,GREEN,03/30/2027
82,Howard,Graham,47,Fokpef Trail,Damattow,ND,97789,$9961.46,YELLOW,03/16/1998
83,Noah,Garrett,61,Mazit Pike,Caegpi,VA,53379,$5773.89,BLUE,06/21/1988
84,Lulu,Bowen,19,Marvi Ridge,Kocuphu,CT,81900,$8375.02,WHITE,09/24/1996
85,Mabelle,Snyder,31,Lupaci Street,Pipenere,SD,78521,$8450.21,GREEN,07-06-2038
86,Eunice,Kim,50,Fuficu Terrace,Lonunba,KY,29573,$7371.04,WHITE,04/24/1965
87,Adeline,Romero,33,Gigneg Point,Ivajamiw,AL,95846,$5086.50,WHITE,06/23/1900
88,Raymond,Steele,20,Apehi Square,Gelewig,MD,99606,$3098.60,WHITE,08-11-1910
89,Cynthia,Obrien,55,Azopa Way,Kolnion,FL,27869,$9785.55,GREEN,10/21/2032
90,Celia,Colon,42,Buha Mill,Ateicegi,WY,61043,$1029.80,YELLOW,03/20/1934
91,Jeffrey,Fuller,36,Gitje Highway,Wenvojmis,IA,15982,$6358.13,BLUE,06/16/1979
92,Calvin,Wolfe,36,Kuahe Ridge,Mornuto,CT,75018,$6847.93,BLUE,04/14/2024
93,Theresa,Barton,26,Johom Pike,Posopvuz,MD,93949,$9672.22,GREEN,05/23/1983
94,Nathaniel,Graham,57,Hewa Street,Regama,FL,21717,$7620.27,BLUE,01-05-1948
95,Rebecca,McCoy,58,Burwuf Pass,Kojiheh,NC,52325,$4416.87,GREEN,04/30/1910
96,Olga,Bailey,54,Wonni Square,Dasovekuv,CA,67635,$7545.79,RED,03/27/2048
97,Edwin,Sanchez,51,Wunpo Court,Majzelaw,SC,93441,$1579.80,WHITE,04/26/1971
98,Agnes,Owen,43,Waev Square,Najurouce,NM,66246,$7078.19,GREEN,10/22/1968
99,Winifred,McDaniel,44,Venmuh Manor,Ocpucca,HI,95918,$5479.91,RED,11/13/2010
100,Jimmy,Schultz,30,Heweh Ridge,Bofhevu,DE,9969,$6933.26,RED,08/20/2065
